id,brand,categories,name,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.isSale
AVpfEf_hLJeJML431ueH,Naturalizer,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Heels,Sandals",Naturalizer Danya Women N/S Open Toe Synthetic Silver Sandals,55.99,55.99,,USD,FALSE
AVpi74XfLJeJML43qZAc,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes,All Women's Shoes",MUK LUKS Womens Jane Suede Moccasin,47,35.25,In Stock,USD,TRUE
AVpi74XfLJeJML43qZAc,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes,All Women's Shoes",MUK LUKS Womens Jane Suede Moccasin,35.25,35.25,In Stock,USD,FALSE
AVpjXyCc1cnluZ0-V-Gj,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Slippers",MUK LUKS Womens Dawn Suede Scuff Slipper,24.75,24.75,In Stock,USD,FALSE
AVphGKLPilAPnD_x1Nrm,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Slippers",MUK LUKS Womens Dawn Suede Scuff Slipper,33,30.39,In Stock,USD,TRUE
AVpg91ziilAPnD_xziOo,Soft Ones,"Womens Shoes,Clothing,Women's Shoes,Baby & Kids Shoes,Baby & Toddler Shoes,All Womens Shoes,Shoes,All Women's Shoes",Women's MUK LUKS® Soft Ones Sock Money Slippers,14,7.9,In Stock,USD,TRUE
AVpjGKXyLJeJML43r8BH,MUK LUKS,"MUK LUKS,Womens,Women's Casual Shoes,Clothing,Women's Shoes,Women's Slippers,Slippers,Shoes,All Women's Shoes",Women's MUK LUKS® Faux Suede Clogs,24,12.79,,USD,FALSE
AVpjGKXyLJeJML43r8BH,MUK LUKS,"MUK LUKS,Womens,Women's Casual Shoes,Clothing,Women's Shoes,Women's Slippers,Slippers,Shoes,All Women's Shoes",Women's MUK LUKS® Faux Suede Clogs,24,12.79,,USD,FALSE
AVpfLXyhilAPnD_xWmNc,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",MUK LUKS Women's Malena Boot,59,39.88,In Stock,USD,TRUE
AVpfeWdJ1cnluZ0-lXYU,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots",MUK LUKS Women's Malena Boot,59,47.99,In Stock,USD,TRUE
